alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
-30,-1.0717,0.36424,0.35203,0.1551,1,0.2189
-28,-1.0103,0.34613,0.33368,0.1343,1,0.2531
-26,-0.9413,0.32345,0.31078,0.1152,1,0.2957
-24,-0.8733,0.30597,0.29312,0.0969,1,0.3475
-22,-0.7919,0.27854,0.26549,0.0804,1,0.4081
-20,-0.7168,0.25789,0.2447,0.0651,1,0.4737
-18,-0.6259,0.22739,0.21397,0.0504,1,0.5472
-16,-0.5395,0.19972,0.18606,0.0364,1,0.6191
-14,-0.4581,0.17276,0.15878,0.024,1,0.7067
-12,-0.3448,0.13619,0.12146,0.0059,1,0.8751
-10,-0.209,0.09453,0.07811,-0.0281,1,1
-9,-0.1773,0.08301,0.06579,-0.0352,1,1
-8,-0.1354,0.07427,0.05621,-0.0405,1,1
-7,-0.0859,0.06801,0.04927,-0.0438,1,1
-6,-0.0392,0.06376,0.04458,-0.0449,1,1
-5,-0.0092,0.06158,0.04213,-0.0418,1,1
-4.5,-0.0026,0.06115,0.04162,-0.0385,1,1
-4,0.0018,0.06089,0.04127,-0.0347,1,1
-3.5,0.0049,0.06069,0.04102,-0.0307,1,1
-3,0.0074,0.06052,0.0408,-0.0266,1,1
-2.5,0.0091,0.06035,0.04062,-0.0224,1,1
-2,0.0102,0.0602,0.04047,-0.0182,1,1
-1.5,0.0104,0.06006,0.04035,-0.014,1,1
-1,0.0098,0.05994,0.04024,-0.0097,1,1
-0.5,0.0084,0.05982,0.04015,-0.0054,1,1
0,0.0062,0.05972,0.04008,-0.0011,1,1
0.5,0.0037,0.05964,0.04002,0.0033,1,1
1,0.001,0.05958,0.03999,0.0077,1,1
1.5,-0.0017,0.05954,0.03998,0.0121,1,1
2,-0.0042,0.05951,0.03999,0.0165,1,1
2.5,-0.0065,0.05949,0.04,0.0209,1,1
3,-0.0082,0.05947,0.04002,0.0254,1,1
3.5,-0.0092,0.05946,0.04005,0.0297,1,1
4,-0.009,0.05948,0.04015,0.034,1,1
4.5,-0.0069,0.05962,0.04035,0.0379,1,1
5,-0.0006,0.06003,0.04084,0.0411,1,1
6,0.0325,0.06247,0.04355,0.0432,1,1
7,0.0813,0.06695,0.04851,0.0417,1,1
8,0.133,0.07316,0.05541,0.0383,1,1
9,0.1808,0.0812,0.06433,0.0337,1,1
10,0.2182,0.09186,0.076,0.0273,1,1
12,0.3635,0.14115,0.12708,-0.0115,0.7881,1
14,0.4509,0.17235,0.15863,-0.0252,0.6891,1
16,0.5448,0.20415,0.19067,-0.0391,0.615,1
18,0.6257,0.22956,0.21622,-0.0521,0.5471,1
20,0.7087,0.25451,0.24131,-0.0661,0.4744,1
22,0.79,0.27956,0.2665,-0.0816,0.4097,1
24,0.8671,0.30319,0.29027,-0.0981,0.3507,1
26,0.9417,0.3272,0.31448,-0.1158,0.2976,1
28,1.0079,0.34711,0.33456,-0.1353,0.2557,1
30,1.0713,0.3678,0.3555,-0.1556,0.2193,1
